All Ordinaries Index (1 February 2017),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
GEG,Grays Ecommerce Group Limited,Information Technology,"154,248,000",0.01,,,
GEM,G8 Education Limited,Consumer Discretionary,"1,383,900,000",0.08,,,
GHC,Generation Healthcare Reit Units,Real Estate,"423,316,000",0.02,,,
GMA,Genworth Mortgage Insurance Australia Limited,Financials,"1,726,750,000",0.1,,,
GMG,Goodman Group Stapled,Real Estate,"12,380,700,000",0.72,,,
GNC,Graincorp Limited,Consumer Staples,"2,162,690,000",0.12,,,
GNG,GR Engineering Services Limited,Materials,"244,594,000",0.01,,,
GOR,Gold Road Resources Limited,Materials,"513,983,000",0.03,,,
GOW,Gowing Bros Limited,Financials,"187,881,000",0.01,,,
GOZ,Growthpoint Properties Australia Stapled,Real Estate,"2,001,240,000",0.12,,,
GPT,GPT Group Stapled,Real Estate,"8,378,470,000",0.48,,,
GRR,Grange Resources Limited,Materials,"277,761,000",0.02,,,
GTY,Gateway Lifestyle Group Stapled,Real Estate,"604,783,000",0.03,,,
GUD,G.u.d. Holdings Limited,Consumer Discretionary,"864,255,000",0.05,,,
GWA,GWA Group Limited,Industrials,"696,822,000",0.04,,,
GXL,Greencross Limited,Consumer Discretionary,"751,505,000",0.04,,,
GXY,Galaxy Resources Limited,Materials,"1,095,950,000",0.06,,,
GZL,Gazal Corporation Limited,Consumer Discretionary,"133,766,000",0.01,,,
HFA,HFA Holdings Limited,Financials,"353,482,000",0.02,,,
HFR,Highfield Resources Limited,Materials,"397,701,000",0.02,,,
HGG,Henderson Group PLC Cdi 1:1,Financials,"2,491,700,000",0.14,,,
HLO,Helloworld Limited,Consumer Discretionary,"480,418,000",0.03,,,
HPI,Hotel Property Investments Stapled,Real Estate,"407,634,000",0.02,,,
HSN,Hansen Technologies Limited,Information Technology,"686,731,000",0.04,,,
HSO,Healthscope Limited,Health Care,"3,817,210,000",0.22,,,
HTA,Hutchison Telecommunications (australia) Limited,Telecommunication Services,"990,793,000",0.06,,,
HUB,HUB24 Limited,Financials,"265,104,000",0.02,,,
HUO,Huon Aquaculture Group Limited,Consumer Staples,"392,144,000",0.02,,,
HVN,Harvey Norman Holdings Limited,Consumer Discretionary,"5,462,640,000",0.32,,,
HZN,Horizon Oil Limited,Energy,"76,816,900",0,,,
IAG,Insurance Australia Group Limited,Financials,"13,802,700,000",0.8,,,
ICQ,Icar Asia Limited,Consumer Discretionary,"80,238,800",0,,,
IDR,Industria Reit Stapled,Real Estate,"339,277,000",0.02,,,
IDX,Integral Diagnostics Limited,Health Care,"166,801,000",0.01,,,
IEL,Idp Education Limited,Consumer Discretionary,"1,023,710,000",0.06,,,
IFL,Ioof Holdings Limited,Financials,"2,695,200,000",0.16,,,
IFM,Infomedia LTD,Information Technology,"230,009,000",0.01,,,
IFN,Infigen Energy Stapled,Utilities,"807,898,000",0.05,,,
IGL,Ive Group Limited,Industrials,"280,309,000",0.02,,,
IGO,Independence Group NL,Materials,"2,217,720,000",0.13,,,
ILU,Iluka Resources Limited,Materials,"3,018,830,000",0.17,,,
IMF,IMF Bentham Limited,Financials,"301,295,000",0.02,,,
INA,Ingenia Communities Group Stapled,Real Estate,"467,416,000",0.03,,,
INM,Iron Mountain Incorporated Cdi 1:1,Real Estate,"2,268,930,000",0.13,,,
IOF,Investa Office Fund Stapled,Real Estate,"2,793,920,000",0.16,,,
IPD,Impedimed Limited,Health Care,"281,256,000",0.02,,,
IPH,IPH Limited,Industrials,"928,425,000",0.05,,,
IPL,Incitec Pivot Limited,Materials,"6,428,120,000",0.37,,,
IRE,Iress Limited,Information Technology,"1,889,920,000",0.11,,,
IRI,Integrated Research Limited,Information Technology,"511,743,000",0.03,,,
ISD,Isentia Group Limited,Information Technology,"530,000,000",0.03,,,
